景区名,标记次数
宽窄巷子,40
锦里古街,30
成都,19
成都大熊猫繁育研究基地,18
春熙路,17
武侯祠,16
人民公园,12
杜甫草堂,11
太子岭滑雪场,10
缘贡自贡菜·川菜馆(春熙路店),10
成都鹪鹩人文精品酒店,10
解放碑步行街,9
太古里,9
文殊院,7
成都瓜串串(金房苑东路店),7
毕棚沟,6
丽江古城,6
理塘,6
泸定桥,5
洪崖洞民俗风貌区,5
黄龙风景名胜区,5
新都桥,5
九寨沟风景区,5
松潘古城,5
稻城亚丁,5
青城山,5
二郎山,5
都江堰,5
阆中古城,4
香格里拉,4
波密,4
九皇山,4
天府广场,4
泸沽湖,4
春熙路步行街,4
不站花胶鸡(春熙店),4
折多山,4
一根儿签子串串香(太古里店),4
炒作大师川辣酒肆(宽窄巷子店),4
达古冰川风景区,4
海螺沟,4
东郊记忆,4
大慈寺,4
泸定,3
长海,3
康定,3
甲居藏寨,3
郎木寺,3
四川博物院,3
东达山,3
然乌湖,3
班花麻辣烫(太古里总店),3
四姑娘山,3
布达拉宫,3
广元,3
独克宗古城,3
雅安,3
若尔盖,3
青海湖,3
禄合门美蛙火锅(宽窄巷子店),3
稻城,3
红草地,3
海子山,3
五花海,3
成都远洋太古里,3
李子坝轻轨站,2
若尔盖花湖生态旅游区,2
色达喇荣五明佛学院,2
無早cafe·咖啡(锦江店),2
鹤鸣茶社(人民公园店),2
青城山后山/泰安古镇地区,2
双桥沟,2
加乌拉山,2
鸳鸯楼,2
洞子口张老二凉粉,2
三星堆博物馆,2
成都环球中心,2
泡桐树街,2
涂鸦一条街,2
二厂文创公园,2
江孜,2
大昭寺,2
巴塘,2
珠峰大本营,2
林芝,2
布达拉宫广场,2
八宿,2
山南,2
拉萨,2
芒康,2
北京,2
九眼桥,2
严太婆锅魁(文殊院店),2
理塘县,2
卡若拉冰川,2
树正群海,2
西安城墙,2
成都瓜串串(白水店),2
甘堡藏寨,2
烤匠麻辣烤鱼(IFS店),2
张太婆老妈蹄花·川菜馆(太古里总店),2
大院河鲜(九眼桥店),2
二更·森林探烤,2
稻城白塔,2
牛奶海,2
拉卜楞寺,2
树正瀑布,2
尼洋河,2
空港花田,2
仙海风景区,2
华光楼,2
中天楼,2
阆中文庙,2
贡院,2
蜀风雅韵川剧院,2
兰州,2
稻城县城,2
桃坪羌寨,2
龙抄手(春熙路总店),2
大唐不夜城,2
陕西历史博物馆,2
回民街,2
拉孜,2
羊卓雍措,2
绒布寺,2
珠穆朗玛峰,2
怒江,2
那曲,2
大渡河,2
怒江七十二道拐,2
纳木措国家公园,2
普达措国家公园,2
蓝月谷,2
虎跳峡,2
玉龙雪山,2
珍珠滩,2
大理,2
汶川,2
蚝英雄·自助烤蚝(太古里店),2
鱼夫鱼仔鹅卵石鱼火锅(九眼桥直营店),2
成都吃客(九眼桥店),2
马路边边(致民路直营店),2
电台巷火锅(科华路店),2
都江堰景区,2
鲁朗,2
映秀地震遗址,2
千厮门大桥,2
青羊宫,2
锦屏山风景区,2
黄鹤楼,2
五彩池,2
长江索道,2
迎宾池,2
黄龙溪,2
乐山大佛,2
朝天门广场,2
攀枝花,2
贵阳,2
上海,2
磨西古镇,2
猴三老火锅(洪崖洞店),2
四川大学,2
珍珠滩瀑布,2
诺日朗瀑布,2
南山一棵树观景台,2
九寨沟,2
米亚罗风景区,2
工布江达,2
重庆洪崖洞民俗风貌区,2
山城步道,2
镜海,2
临夏市,1
冲古寺,1
红石滩,1
尕海湖,1
巴蜀印象原味老火锅,1
东公馆,1
五色海,1
西关清真大寺,1
米仓山古栈道,1
萝卜寨,1
刘家峡水电站,1
光雾山,1
夜啤酒长廊,1
正宁路小吃夜市,1
米拉日巴佛阁,1
杜记甜食,1
南屏步行街,1
炳灵寺石窟,1
中国古羌城,1
九寨沟保利·新九寨宾馆,1
川主寺镇,1
卤盟主卤味火锅(春熙概念店),1
几何书店·雪域咖啡,1
伏龙观,1
宝瓶口,1
青城山尊酒店,1
成都启雅尚国际酒店,1
熊猫主题邮局,1
成都瓜串串,1
瓜串串,1
天府芙蓉园,1
遂宁,1
康定机场,1
电台巷火锅,1
坪头羌寨,1
黑水县,1
塔子山公园,1
西昌,1
翠湖地区,1
琼海,1
可邑小镇,1
翠湖公园,1
香香巷,1
则岔石林,1
仙乃日,1
南浔,1
川渝人家(海晏门店),1
圣寿寺,1
巴朗山,1
集渔·泰式海鲜火锅,1
成都香格里拉大酒店,1
得劲儿焖烤肉串(红瓦寺店),1
映秀镇,1
武汉长江大桥,1
宜昌,1
然乌镇,1
澜沧江,1
峨眉山,1
丽江,1
