景区名,标记次数,经度,纬度
四川市宽窄巷子,40,116.59583107331898,40.05106632792436
四川市成都,19,104.07274727406208,30.578993724029967
四川市成都大熊猫繁育研究基地,18,103.59715496248957,30.968279824769226
四川市武侯祠,16,104.05565889817632,30.64889762174746
四川市人民公园,12,117.11400108979232,40.14745164681986
四川市杜甫草堂,11,115.90841347164394,39.80430417492745
四川市太子岭滑雪场,10,103.73038876115187,31.576447422676768
四川市缘贡自贡菜·川菜馆(春熙路店),10,104.07971677736126,30.65880001451628
四川市成都鹪鹩人文精品酒店,10,104.05985596118005,30.67057488334244
四川市解放碑步行街,9,106.58413323871982,29.561441539115616
四川市太古里,9,126.65740720953681,45.79036061812065
四川市文殊院,7,116.43047306114492,39.94470490817716
四川市成都瓜串串(金房苑东路店),7,104.0462563344034,30.701128511332524
四川市毕棚沟,6,103.0792887529397,31.411359359366624
四川市丽江古城,6,100.2324803392115,26.883161684001312
四川市理塘,6,100.27557457997872,30.000030621750792
四川市泸定桥,5,113.90727686727472,22.504132658842273
四川市洪崖洞民俗风貌区,5,114.12574126383772,22.59161895921418
四川市黄龙风景名胜区,5,109.84654907670661,35.59023376806876
四川市九寨沟风景区,5,103.91158147404197,33.27759412255641
四川市松潘古城,5,103.60666667038197,32.643033156674974
四川市稻城亚丁,5,108.32181595563047,22.854256000604376
四川市青城山,5,103.60132354920863,30.905452671061333
四川市二郎山,5,108.59269827529437,29.48349212211602
四川市都江堰,5,103.65353360443186,30.994256893542204
四川市阆中古城,4,105.97767049274752,31.580860354469994
四川市香格里拉,4,99.70744457389884,27.835760125320558
四川市波密,4,95.77390012164511,29.865060090548965
四川市九皇山,4,115.200060126272,25.537761326821638
四川市天府广场,4,104.07231042809258,30.66346725218748
四川市泸沽湖,4,100.86191600306216,27.73114787464756
四川市不站花胶鸡(春熙店),4,104.01352836975836,30.667976542614248
四川市折多山,4,101.80449181558892,30.121096178354858
四川市一根儿签子串串香(太古里店),4,87.59521949440969,43.819330355624395
四川市炒作大师川辣酒肆(宽窄巷子店),4,116.61581307091349,35.424603645488425
四川市达古冰川风景区,4,106.8067877813327,26.820175871946216
四川市海螺沟,4,105.26238637618633,31.408095393636625
四川市东郊记忆,4,122.30093882480162,43.62271705435812
四川市大慈寺,4,104.0908051012542,30.659905394654075
四川市泸定,3,102.24143209630797,29.92040166495139
