年份,文章标题,发布时间,url,route
2016,#201609独自旅行#重庆,2016-09-12,https://you.ctrip.com/travels/chongqing158/3151165.html,渣滓洞(55)->白公馆(58)->磁器口(61)->磁器口古镇(61)->朝天门(496)->洪崖洞(506)->解放碑(509)->人民大礼堂(512)->三峡博物馆(517)->长江索道(728)
2020,#2020国庆网红重庆4日游#从八十年代老重庆穿越到桃花源,2020-09-30,https://you.ctrip.com/travels/chongqing158/3974301.html,洪崖洞(64)->李子坝轻轨(183)->李子坝(183)->鹅岭(191)->二厂(193)->鹅岭公园(373)->解放碑(1056)->华蓥山(2069)->千厮门大桥(2728)->朝天门(2771)->来福士(2776)->长江索道(2981)->嘉陵江(3336)->艺术部落(4257)
2015,#九月心情#游老君山、访CEO嘉年华、观“知.美术馆”,2015-09-16,https://you.ctrip.com/travels/xinjin3124/2597349.html,老君山(195)->花舞人间(1024)
2019,#从你的全世界路过#拥有六个方向的重庆，让导航失效的魔幻山城,2019-04-23,https://you.ctrip.com/travels/chongqing158/3798753.html,洪崖洞(227)->磁器口(236)->磁器口古镇(236)->长江索道(242)->千厮门大桥(247)->川美(259)->鹅岭(264)->二厂(266)->观音桥(273)->钟书阁(308)->李子坝(313)->李子坝轻轨(313)->皇冠大扶梯(1274)->洞亭火锅(2497)->嘉陵江大桥(2893)->嘉陵江(2893)->涂鸦一条街(3325)->解放碑(5652)
2016,#冬季峨眉山随手拍#遇见这个冬天最美的星空和云海,2016-01-25,https://you.ctrip.com/travels/emeishan24/2802565.html,峨眉山(27)->乐山(665)->瓦屋山(3640)->报国寺(4212)
2015,#加游站##我们一直在路上#川滇行记(麻辣成都-山水九寨-秘境泸沽-悠闲双廊-古都大理),2015-04-14,https://you.ctrip.com/travels/dali31/2313275.html,峨眉山(65)->乐山(451)->宽窄巷子(2573)->锦里(2590)->大慈寺(2700)->文殊院(2704)->武侯祠(3465)->名山(4713)->报国寺(4827)->草海(10290)->木府(13040)
2016,#周末游体验师#来江油花鄉欧洲院子当一回欧洲贵族,2016-03-10,https://you.ctrip.com/travels/jiangyou1037/2849998.html,春熙路(2)->李白故居(1611)
2018,#国家宝藏#【重庆、成都、九寨沟、丽江】一场古典风情与舌尖美食的碰撞（7天6晚放肆游）,2018-08-09,https://you.ctrip.com/travels/chengdu104/3714863.html,武侯祠(460)->锦里(470)->宽窄巷子(477)->大熊猫繁育研究基地(1106)->玫瑰谷(1983)->长江第一湾(6190)
2016,#壮丽三峡魅力重庆#长江三峡、山城重庆自由行十天游（多图）,2016-02-26,https://you.ctrip.com/travels/chongqing158/2832619.html,长江索道(492)->夔门(697)->石宝寨(710)->湖广会馆(730)->洋人街(736)->解放碑(755)->步行街(758)->洪崖洞(777)->朝天门广场(823)->朝天门(823)->长江大桥(3944)->东水门(4506)->磁器口(5401)->磁器口古镇(5427)->锦里(5459)->重庆市规划展览馆(6775)->嘉陵江(6797)
2020,#天府之肺熊猫故乡#​​​​美好雅安与成都的吃喝玩乐,2020-01-06,https://you.ctrip.com/travels/sichuan100009/3928358.html,阆中(27)->牛碾坪(245)->蒙顶山(298)->名山(337)->碧峰峡(1363)->动物园(1394)->龙苍沟(1423)->叠翠溪(1591)->瓜串串(2630)->九眼桥(2878)->春熙路(3159)->都江堰(3542)
2016,#小脚丫#双城记——2016年暑假成都、重庆美食之旅,2016-08-10,https://you.ctrip.com/travels/chengdu104/3093634.html,黄龙溪(132)->武侯祠(284)->宽窄巷子(288)->都江堰(482)->青城山(486)->锦里(869)->人民公园(919)->磁器口(1085)->洪崖洞(1090)->南山植物园(1111)->南山(1111)
2016,#小脚丫量世界#量宝宝和妈妈来回7天成都半自由行亲子游,2016-08-02,https://you.ctrip.com/travels/chengdu104/3063461.html,三星堆(1350)->文殊院(2164)->九眼桥(2972)->安顺廊桥(3226)->都江堰(3531)->青城山(3549)->宝瓶口(4576)->宽窄巷子(5445)->乐山(5642)->千佛岩(5688)->锦里(7387)->武侯祠(8069)->人民公园(8255)->春熙路(8850)->太古里(8884)->大慈寺(9177)->浣花溪(11111)->杜甫草堂(11117)->青羊宫(11571)
2015,#我的2015#“一路向西自驾峨眉山”安徽到峨眉山八天游一路嗨到底,2015-12-01,https://you.ctrip.com/travels/emeishan24/2708888.html,峨眉山(27)->名山(186)->宽窄巷子(336)->锦里(341)->乐山(886)->黄龙溪(915)->五峰山(1346)->长江大桥(2401)->嘉陵江(2408)->凌云山(2716)->报国寺(2964)->瓦屋山(4532)->春熙路(7663)->武侯祠(7744)->杜甫草堂(7748)->金沙遗址(7769)->大熊猫繁育研究基地(7797)->都江堰(8004)
2015,#我的2015#一场说走就走的旅行——成都、九寨沟（补充图片、视频、问题解答）,2015-12-12,https://you.ctrip.com/travels/jiuzhaigou25/2745952.html,天府广场(34)->杜甫草堂(1358)->春熙路(2022)->宽窄巷子(2255)->锦里(2361)->武侯祠(2384)->百花潭(2624)->都江堰(6596)
2015,#我的2015#天下山水在于蜀成都，九寨，黄龙，乐山大佛，峨眉山，都江堰篇【大量美景美食图】,2015-10-29,https://you.ctrip.com/travels/sichuan100009/2654438.html,乐山(216)->都江堰(225)->锦里(779)->宽窄巷子(858)->武侯祠(1079)->青羊宫(1803)->人民公园(1920)->峨眉山(5513)->宝瓶口(6532)
2015,#我的2015#成都5天四夜悠闲耍~反省攻略，来来来快来省钱，吃吃吃快来成都,2015-12-17,https://you.ctrip.com/travels/chengdu104/2751637.html,人民公园(219)->宽窄巷子(225)->乐山(231)->春熙路(267)->西岭雪山(307)->都江堰(345)->青城山(350)->文殊院(388)->锦里(393)->天府广场(537)->大熊猫繁育研究基地(1360)->步行街(1841)->洞子口张老二凉粉(4662)->武侯祠(4849)
2015,#我的2015#成都的银杏、峨眉的云海,2015-12-15,https://you.ctrip.com/travels/emeishan24/2742746.html,杜甫草堂(111)->锦里(1164)->步行街(1259)->天府广场(1406)
2015,#我的2015#这个秋天我们相约耍川西,2015-11-17,https://you.ctrip.com/travels/heishui120552/2673522.html,西岭雪山(27)->都江堰(2917)->青城山(6828)->平乐古镇(9370)->天台山(9565)->峨眉山(10786)
2015,#我的2015#闲适成都二日游——金沙遗址品千年宝藏，宽窄巷子赏别样人生,2015-12-26,https://you.ctrip.com/travels/chengdu104/2681745.html,文殊院(77)->都江堰(260)->锦里(264)->金沙遗址(302)->宽窄巷子(319)->天府广场(334)->琴台故径(468)->春熙路(475)
2015,#我的2015年#成都熊猫王国,2015-12-15,https://you.ctrip.com/travels/chengdu104/2741684.html,成都大熊猫繁育研究基地(30)->大熊猫繁育研究基地(32)->宽窄巷子(56)
2015,#我的2015年#白菜价，淡季休闲游重庆，要得！,2015-12-17,https://you.ctrip.com/travels/chongqing158/2751741.html,重庆好吃街(91)->长江索道(211)->磁器口(522)->磁器口古镇(522)->洪崖洞(1225)->山城步道(1293)->三峡博物馆(1979)->四川美术学院(2295)->川美(2296)->解放碑(2538)->步行街(2541)->时代广场(2600)->重庆美术馆(2690)
2016,#携程酒店促销WE试住#面面俱到酒店控--在重庆万豪酒店体验一场身心的SPA,2016-08-30,https://you.ctrip.com/travels/chongqing158/3118685.html,解放碑(434)->南滨路(888)
2016,#春节在路上#在天空，我踩着咯吱声远去（峨眉山之行新春的3天,2016-02-23,https://you.ctrip.com/travels/emeishan24/2834920.html,都江堰(150)->峨眉山(196)->报国寺(771)->高庙古镇(848)->名山(1771)
2016,#春节在路上#牵手旅行，寻味美食美景美人——『山城重庆』,2016-02-09,https://you.ctrip.com/travels/chongqing158/2824028.html,解放碑(54)->步行街(90)->洪崖洞(97)->渣滓洞(127)->白公馆(157)->香山(163)->磁器口(205)->磁器口古镇(209)->嘉陵江(221)->朝天门(268)->长江索道(322)->南山一棵树(448)->南山(448)->人民大礼堂(494)->八一路好吃街(1390)->春熙路(1785)->嘉陵江大桥(2058)->人民大会堂(4719)
2016,#暑假狂欢季#火辣辣的成都、重庆——大小吃货继续出发,2016-08-08,https://you.ctrip.com/travels/chengdu104/3098563.html,武侯祠(334)->宽窄巷子(338)->都江堰(536)->青城山(540)->黄龙溪(544)->锦里(823)->人民公园(866)->磁器口(960)->洪崖洞(964)->南山植物园(975)->南山(975)->宝瓶口(2521)->名山(2800)->长江索道(3600)->玉林串串香(3813)
2015,#畅游中国#之山城重庆：这是一个我可以说方言的城市，偷得浮生半日闲,2015-05-08,https://you.ctrip.com/travels/chongqing158/2355134.html,解放碑(387)->朝天门(391)->洋人街(395)->磁器口(399)->磁器口古镇(399)
2019,#私藏重庆3日游攻略#,2019-09-18,https://you.ctrip.com/travels/chongqing158/3898397.html,解放碑(126)->洪崖洞(130)->三峡博物馆(138)->李子坝(144)->磁器口(157)->人民大会堂(892)
2015,#端午游川西柳江古镇,2015-02-17,https://you.ctrip.com/travels/hongya3096/2275572.html,瓦屋山(164)->柳江古镇(167)->峨眉山(2352)->石象湖(2598)
2015,#美在宜宾#川南宜宾五日行记,2015-08-28,https://you.ctrip.com/travels/yibin278/2544461.html,五粮液(177)->蜀南竹海(184)->李庄古镇(286)->南溪古街(355)->僰王山(360)->七洞沟(510)->天泉(2998)->川美(8319)
2016,#美食林体验师#【吃货手绘】行走在蓉城的美食与美景之间,2016-09-13,https://you.ctrip.com/travels/chengdu104/3157236.html,天府广场(552)->都江堰(700)->乐山(704)->平乐古镇(758)->春熙路(1825)->太古里(1829)->宽窄巷子(2503)->步行街(2545)->五粮液(4507)->大慈寺(4699)->大熊猫繁育研究基地(6003)->动物园(6019)->浣花溪(6450)->青羊宫(6482)->瓜串串(6601)->锦里(6751)->文殊院(6970)->洞子口张老二凉粉(7298)
2016,#美食林体验师#【饕餮成都】唯美食与梦想不可辜负。（小长假觅食记，舌尖上的蓉城&#175;﹃&#175;）,2016-07-19,https://you.ctrip.com/travels/chengdu104/3051456.html,太古里(343)->宽窄巷子(350)->大慈寺(2745)->兰桂坊(2861)->春熙路(3276)->成都远洋太古里(3940)->人民公园(4356)
2016,#蜀国风光成都味道#——一个班60个人海螺沟折多山康定成都等地的旅行,2016-03-31,https://you.ctrip.com/travels/chengdu104/2874020.html,上里古镇(183)->都江堰(218)->锦里(223)->宽窄巷子(238)->人民公园(244)->大熊猫繁育研究基地(1821)->草海(4247)->宝瓶口(6715)
2016,#说走就走#显得刚刚好的泸沽湖,2016-03-30,https://you.ctrip.com/travels/yanyuan3142/2873374.html,洛带古镇(730)->峨眉山(1441)
2016,#跟着美图游乐山#纪念那些爱拉在乐山大吃大喝的日子,2016-04-01,https://you.ctrip.com/travels/leshan103/2884162.html,沐川竹海(27)->乐山(178)->罗城古镇(225)->峨眉山(264)->桫椤湖(595)->凌云山(977)->报国寺(1161)->名山(1273)->川西竹海(1801)
2019,#重庆#魔幻3D城市的人喜欢半夜喝稀饭？,2019-04-03,https://you.ctrip.com/travels/chongqing158/3792749.html,洪崖洞(97)->弹子石老街(625)->弹子石(625)
2019,#重庆一日游攻略，美食拍照一网打尽#,2019-09-06,https://you.ctrip.com/travels/chongqing158/3894391.html,洪崖洞(38)->磁器口(168)->李子坝(172)->千厮门大桥(2094)->嘉陵江(2101)
2021,#重庆值得一去的免费游玩打卡点,2021-03-15,https://you.ctrip.com/travels/chongqing158/3999256.html,佛图关(7)->佛图关公园(7)->嘉陵江(21)->杨家坪步行街(210)->步行街(213)->动物园(238)->洪崖洞(269)->李子坝(286)->解放碑(494)->观音桥(516)->磁器口(520)
2019,#重庆旅游必去之地，新晋网红线路#,2019-09-06,https://you.ctrip.com/travels/chongqing158/3894300.html,洪崖洞(38)->磁器口(168)->李子坝(172)->千厮门大桥(2079)->嘉陵江(2086)
2015,#金主席的川西高原写真处女作#神秘黑水彩林冰川5日自驾,2015-10-29,https://you.ctrip.com/travels/heishui120552/2649246.html,都江堰(512)->红军桥(3917)
2016,#随手拍#成都、都江堰、宽窄巷子、青城山后山开心游,2016-04-26,https://you.ctrip.com/travels/chengdu104/2502753.html,武侯祠(225)->锦里(229)->宽窄巷子(248)->都江堰(328)->青城山(334)->金沙遗址(417)->翠映湖(6182)->飞泉沟(6257)->泰安古镇(7581)
2015,#随手拍#让人念念不忘的重庆（一）,2015-08-23,https://you.ctrip.com/travels/chongqing158/2527144.html,南山(350)->老君山(449)->文峰山(453)->大佛寺(481)->南山一棵树(790)->枇杷山(2252)->鹅岭(2260)->南滨路(2881)->重庆大剧院(3280)->鹅岭公园(3737)->朝天门(4075)->长江大桥(4087)->嘉陵江(4098)->嘉陵江大桥(4103)->东水门(4234)->解放碑(4288)->钓鱼城(4397)->弹子石(7041)->磁器口(8746)->磁器口古镇(8746)->石井坡(8801)
2019,&quot;西&quot;游记——我的大美川藏&quot;放逐&quot;之旅（上）,2019-08-02,https://you.ctrip.com/travels/daocheng342/3882480.html,人民公园(933)->宽窄巷子(1387)->大慈寺(1481)->文殊院(1485)->武侯祠(1583)->锦里(1587)->春熙路(1832)->太古里(1851)->IFS(1855)->龙凤(2554)
2021,1.5H跑拢的后花园-邛崃，那些你不知道的宝藏景点,2021-05-21,https://you.ctrip.com/travels/qionglai1403/4011852.html,天台山(15)->平乐古镇(19)->川西竹海(136)->茶兰(193)->湖广会馆(1292)
2016,1.重庆(20160511),2016-05-15,https://you.ctrip.com/travels/chongqing158/2965561.html,解放碑(375)->磁器口(742)->三峡博物馆(932)->朝天门(1102)->洪崖洞(1242)
2021,10岁小朋友的黄金周游重庆和三峡,2021-11-14,https://you.ctrip.com/travels/chongqing158/4040651.html,长江索道(140)->皇冠大扶梯(300)->李子坝(379)->解放碑(445)->弹子石老街(528)->弹子石(528)->嘉陵江(562)->千厮门大桥(725)->来福士(751)->鹅岭公园(817)->鹅岭(817)->磁器口(891)->观音桥(1041)->朝天门(1266)->南山(1276)->南山一棵树(1276)->丰都鬼城(1405)->夔门(1919)
2021,10月29日-31日邀您打卡合川第二届“涞滩&#183;宋风集市”暨2021非遗游园文化节！,2021-10-26,https://you.ctrip.com/travels/chongqing158/4038214.html,钓鱼城(98)->涞滩古镇(151)
2015,10月毕棚沟，从夏走到冬，从烟雨蒙蒙走到艳阳高照,2015-10-27,https://you.ctrip.com/travels/lixian1445566/2641115.html,天台山(131)->都江堰(993)
2019,10条抖音8条重庆，还不快趁着清明去耍一番！,2019-04-04,https://you.ctrip.com/travels/chongqing158/3793063.html,朝天门(76)->解放碑(80)->李子坝轻轨(166)->李子坝(166)->洪崖洞(407)->长江索道(803)->壹华里(888)->南温泉(1011)->石井坡(1121)
2016,11天四川5市深度美景美食自由行,2016-05-28,https://you.ctrip.com/travels/sichuan100009/2981465.html,文殊院(38)->都江堰(277)->宽窄巷子(322)->严太婆锅魁(327)->乐山(344)->锦里(358)->三星堆(370)->金沙遗址(380)->春熙路(403)->草海(2912)->宝瓶口(8082)->人民公园(8719)->太古里(9376)->大慈寺(9601)->东方佛都(10209)->成都大熊猫繁育研究基地(11686)->大熊猫繁育研究基地(11688)
