年份,文章标题,发布时间,url,route
2020,旅行|时髦溜娃，在成都“宇宙中心”的一天,2020-09-25,https://you.ctrip.com/travels/chengdu104/3972553.html,IFS(181)->时代广场(3160)
2020,懒人攻略｜48小时玩转宇宙中心,2020-09-19,https://you.ctrip.com/travels/chengdu104/3971583.html,IFS(30)->春熙路(209)->成都武侯祠博物馆(1603)->锦里(1607)
2020,让我们在成都的街头走一走，不带走也不停留/终极版游玩秘籍,2020-01-17,https://you.ctrip.com/travels/chengdu104/3930929.html,IFS(329)->大慈寺(338)->太古里(342)->东郊记忆(876)->几何书店(1507)->锦里(2083)->成都武侯祠博物馆(2089)->九眼桥(2447)->人民公园(2702)->鹤鸣茶社(2782)->文殊院(3309)->宽窄巷子(3578)->春熙路(4496)
2020,带着孩子去成都体验48小时的安逸（附免费交通指南）,2020-09-20,https://you.ctrip.com/travels/chengdu104/3971590.html,IFS(442)->大慈寺(458)->春熙路(503)->太古里(507)->宽窄巷子(1406)->成都市海昌极地海洋世界景区(1538)->成都大熊猫繁育研究基地(1607)->重庆动物园(1840)->文殊院(2592)
2020,成都，天府之国，美食之都~,2020-08-21,https://you.ctrip.com/travels/chengdu104/3966749.html,东郊记忆(92)->锦里(1130)->成都武侯祠博物馆(1222)->成都鹪鹩人文精品酒店(1933)->宽窄巷子(1945)
2020,成都，带不走的是你,2020-02-11,https://you.ctrip.com/travels/chengdu104/3933629.html,东郊记忆(94)->锦里(1136)->成都武侯祠博物馆(1231)->春熙路(2086)->宽窄巷子(2467)->成都鹪鹩人文精品酒店(2606)
2020,成都，带不走的只有你~,2020-12-30,https://you.ctrip.com/travels/chengdu104/3990424.html,东郊记忆(94)->锦里(1138)->成都武侯祠博物馆(1234)->春熙路(2091)->宽窄巷子(2475)->成都鹪鹩人文精品酒店(2614)
2020,“朝发白帝，暮到江陵”——长江三峡+重庆，十一旅行好去处,2020-05-07,https://you.ctrip.com/travels/yichang313/3816308.html,丰都鬼城(486)->重庆忠县石宝寨(498)->重庆云阳张飞庙(508)->夔门(534)->朝天门(2122)->解放碑(2133)->渣滓洞(2143)->白公馆(2148)->重庆磁器口古镇(2153)->重庆中国三峡博物馆(2167)->重庆人民大礼堂及人民广场(2180)->重庆洪崖洞民俗风貌区(2187)->重庆长江索道景区(2225)->嘉陵江(7875)->步行街(8075)->重庆磁器口古镇(8438)->长江大桥(9390)
2020,"向春天出发——2019,3，自驾，踏春（五）泸沽湖。",2020-04-24,https://you.ctrip.com/travels/yanyuan3142/3940901.html,乐山大佛景区(1100)->草海(1452)->重庆南岸南山桃花园景区(2892)
2020,四川旅游：重游两“佛”山采风散记（图）,2020-03-19,https://you.ctrip.com/travels/leshan103/3938943.html,乐山大佛景区(115)->峨眉山风景名胜区(118)->南充市凌云山景区(396)->三苏祠景区(585)->重庆合川钓鱼城景区(828)->资阳乐至龙门报国寺(2584)->瓦屋山景区(3586)
2020,周末休闲三日,2020-11-15,https://you.ctrip.com/travels/emeishan24/3982768.html,乐山大佛景区(140)->峨眉山风景名胜区(640)->福音堂(1599)->瓦屋山景区(2865)->雅女湖有机农庄(2963)
2020,夜色成都串串爽，魅力小金苹果香,2020-09-26,https://you.ctrip.com/travels/siguniangshan143878/3972738.html,乐山大佛景区(229)->春熙路(294)->青城山—都江堰旅游景区(1052)
2020,乐山大佛-峨眉山看日出雪景。,2020-02-23,https://you.ctrip.com/travels/emeishan24/3934822.html,乐山大佛景区(59)->峨眉山风景名胜区(195)->资阳乐至龙门报国寺(198)
2020,2016暑游蜀地印象之四——乐山大佛印象,2020-06-26,https://you.ctrip.com/travels/leshan103/3955476.html,乐山大佛景区(61)->峨眉山风景名胜区(66)->南充市凌云山景区(1690)
2020,重庆歌乐山的白公馆：有些遗憾的夏日红色之旅,2020-09-13,https://you.ctrip.com/travels/chongqing158/3970119.html,乐山大佛景区(67)->白公馆(114)->渣滓洞(144)->中国香山?寿香谷(347)->红岩魂陈列馆(1601)->重庆歌乐山烈士陵园(1630)->红岩魂广场(1638)->重庆磁器口古镇(2346)
2020,"向春天出发——2019,3，自驾，踏春（四）广元、乐山、犍为、西昌。",2020-04-24,https://you.ctrip.com/travels/liangshan912/3939433.html,乐山大佛景区(67)->草海(1492)->重庆南岸南山桃花园景区(2932)->嘉陵江(3321)->内江市隆昌县石牌坊旅游区(4182)->文庙(4314)->重庆大足海棠香国历史文化风情城(4554)->滨江路(4965)->乐山市犍为县嘉阳.桫椤湖景区(5061)->仁寿城市湿地公园(7891)
2020,重游犍为、罗城（——美食之旅）,2020-03-20,https://you.ctrip.com/travels/jianwei3118/3938369.html,乐山大佛景区(78)->犍为文庙(1132)->文庙(1134)->罗城古镇(1407)
2020,去成都旅行，不要错过这些美食美景网红打卡地！,2020-08-23,https://you.ctrip.com/travels/chengdu104/3967034.html,乐山大佛景区(833)->黑龙滩旅游景区(1829)->宽窄巷子(2533)->锦里(3025)->太古里(3639)->解放碑(3682)->大慈寺(3980)
2020,川渝陕六城旅行记,2020-05-05,https://you.ctrip.com/travels/dujiangyan911/3947275.html,乐山大佛景区(863)->南充市凌云山景区(2338)->乐山东方佛都旅游区(3583)->宽窄巷子(3721)->锦里(3726)->青城山—都江堰旅游景区(3795)->草海(9645)->宝瓶口(11441)->伏龙观(11459)->青城山—都江堰旅游景区(12977)->重庆南岸南山桃花园景区(13394)->重庆磁器口古镇(13652)->白公馆(14288)->渣滓洞(14292)->重庆洪崖洞民俗风貌区(14747)->朝天门(14850)->解放碑(14900)
2020,唯美景美食不可辜负——这个秋天，开启汶川神奇、绚丽的无忧慢生活！,2020-09-28,https://you.ctrip.com/travels/chengdu104/3973629.html,乐山大佛景区(96)->春熙路(141)->青城山—都江堰旅游景区(2292)
2020,【九皇山2天1夜亲子游】带上宝贝一起感受云间嬉戏，山野撒欢的乐趣吧～,2020-08-03,https://you.ctrip.com/travels/beichuan1934/3961373.html,九皇山(29)->重庆南岸南山桃花园景区(1604)
2020,2020九皇山花溪景春季赏花攻略,2020-03-27,https://you.ctrip.com/travels/youyouctripstar10000/3940647.html,九皇山(56)->宝山旅游区(658)->天府花溪谷(1678)
2020,贰厂体验攻略2020|热门打卡篇,2020-10-22,https://you.ctrip.com/travels/chongqing158/3978261.html,二厂(1)->贰厂(117)->重庆鹅岭公园(146)->重庆鹅岭公园(337)
2020,贰厂体验攻略2020|主题体验馆篇,2020-11-05,https://you.ctrip.com/travels/chongqing158/3980829.html,二厂(31)->四川美术学院(170)->重庆鹅岭公园(378)
2020,十二年来最长的五一假期，不出国，不出城，最牛重庆市内5天游玩攻略！,2020-04-28,https://you.ctrip.com/travels/chongqing158/3946131.html,二厂(98)->重庆鹅岭公园(101)->重庆巴南羊鹿山景区(1223)->重庆观音桥商圈都市旅游区(1311)
2020,冬日川西，许你一个雪后王国（毕棚沟+太子岭+成都美食3日行记）,2020-01-04,https://you.ctrip.com/travels/lixian1445566/3928272.html,五彩林乡(25)->青城山—都江堰旅游景区(2541)->瓜串串(6300)
2020,2020川藏行,2020-09-02,https://you.ctrip.com/travels/tibet100003/3968494.html,五粮液旅游景区(426)->乐山大佛景区(720)->澜沧江(2603)
2020,老成都人为你写的成都游记,2020-06-19,https://you.ctrip.com/travels/chengdu104/3954358.html,人民公园(197)->天府广场(280)->青城山—都江堰旅游景区(365)->青城山—都江堰旅游景区(369)->重庆南岸长嘉汇弹子石老街(624)->成都武侯祠博物馆(969)->锦里(973)->成都杜甫草堂博物馆(976)->青羊宫(981)->浣花溪(985)->宽窄巷子(3186)->IFS(3248)->小酒馆(3378)->太古里(3858)->春熙路(4057)->四川广汉三星堆博物馆(4946)->东郊记忆(5556)->重庆动物园(5801)->南充市北湖公园(6249)->宝瓶口(6781)->泰安古镇(7619)->内江市隆昌县石牌坊旅游区(7644)->峨眉山风景名胜区(8545)->解放路(9964)
2020,和顺、仙市、青岩、喜洲、磁器口，我心目中的西南地区五大古镇,2020-06-28,https://you.ctrip.com/travels/zigong575/3955737.html,仙市古镇旅游景区(136)->重庆磁器口古镇(164)->嘉陵江(3429)->宝轮寺(3467)
2020,探访重庆三大神秘之地---佛图关,2020-04-15,https://you.ctrip.com/travels/chongqing158/3943695.html,佛图关(21)->重庆鹅岭公园(110)->佛图关公园(310)->重庆涪陵巴山夜雨休闲旅游区(498)->枇杷山(569)->关岳庙(1029)->嘉陵江(1223)->重庆鹅岭公园(1499)
