年份,文章标题,发布时间,url,route
2020,重庆九龙坡九凤山顶培根源民宿山庄惊现相似九寨沟的山水画卷！,2020/7/2,https://you.ctrip.com/travels/chongqing158/3956590.html,万州区->九龙坡区
2020,尝美食三绝，游亚洲第一瀑布I重庆周边好去处,2020/9/25,https://you.ctrip.com/travels/chongqing158/3971764.html,万州区->渝中区->万州区
2019,长江三峡豪华游轮【攻略篇】,2019/8/30,https://you.ctrip.com/travels/yichang313/3892196.html,丰都县->忠县
2020,“朝发白帝，暮到江陵”——长江三峡+重庆，十一旅行好去处,2020/5/7,https://you.ctrip.com/travels/yichang313/3816308.html,丰都县->忠县->云阳县->渝中区->沙坪坝区->渝中区
2018,不负好时光，七夕打卡丰都南天湖,2018/8/23,https://you.ctrip.com/travels/fengdu120029/3720645.html,丰都县->涪陵区
2019,干货，2019丰都庙会最新、最全攻略！,2019/3/26,https://you.ctrip.com/travels/2025250/3790199.html,丰都县->渝中区
2021,轻舟千里看长江,2021/10/10,https://you.ctrip.com/travels/chongqing158/4035885.html,丰都县->渝中区->沙坪坝区
2019,2019年10月滇西、川西自驾游攻略（五）川西甘孜州—新龙、色达、泉华滩,2019/11/23,https://you.ctrip.com/travels/sichuan100009/3918191.html,乐山市->内江市
2019,驶向记忆|最后的蒸汽小火车—传奇嘉阳“矿”世典藏【视频】,2019/10/9,https://you.ctrip.com/travels/jianwei3118/3904695.html,乐山市->宜宾市
2019,嘉阳一日游|搭上蒸汽小火车穿越时空,2019/10/10,https://you.ctrip.com/travels/jianwei3118/3904746.html,乐山市->宜宾市->乐山市
2021,四川成都、乐山大佛、峨眉山、九寨沟、黄龙、都江堰、三星堆、宽窄巷子,2021/7/4,https://you.ctrip.com/travels/emeishan24/4020385.html,乐山市->德阳市->成都市
2019,当我们在成都街头时，我们该吃点什么？【不容错过的6家成都味】,2019/12/28,https://you.ctrip.com/travels/chengdu104/3926502.html,乐山市->成都市
2021,四川出发就差你一个想法而已,2021/5/27,https://you.ctrip.com/travels/sichuan100009/4012947.html,乐山市->成都市
2019,成都：好吃懒动星人带你两天吃遍成都及周边,2019/10/19,https://you.ctrip.com/travels/chengdu104/3905468.html,乐山市->成都市
2021,四川旅游地接导游，成都地陪导游，四川正规导游，四川高端可靠导游，1对1导游服务,2021/5/7,https://you.ctrip.com/travels/sichuan100009/4009176.html,乐山市->成都市
2020,陪伴是最长情的告白，带上夫人和孩子到峨眉山下享一段美妙的亲子时光,2020/1/6,https://you.ctrip.com/travels/emeishan24/3924667.html,乐山市->成都市
2019,2019初秋川西小环线八天自驾游分享,2019/10/19,https://you.ctrip.com/travels/emeishan24/3907050.html,乐山市->成都市
2021,从川藏线到若尔盖草原,2021/8/8,https://you.ctrip.com/travels/ruoergai3165/4026831.html,乐山市->成都市
2018,四川|成都小众景点及网红美食攻略，以正确的方式打开成都【第一集】,2018/9/6,https://you.ctrip.com/travels/chengdu104/3726136.html,乐山市->成都市
2020,春节约起来！汶川这20个景点全年免，随便耍~,2020/1/17,https://you.ctrip.com/travels/wenchuan3101/3930950.html,乐山市->成都市
2019,回家过年自驾游之一——琼楼临水龚滩镇,2019/11/12,https://you.ctrip.com/travels/chongqing158/3912841.html,乐山市->成都市
2021,“乐”不思“蜀”—开启巴蜀美食之旅,2021/8/17,https://you.ctrip.com/travels/chengdu104/4028119.html,乐山市->成都市
2019,走进大山深处的唯美蜀地,2019/11/4,https://you.ctrip.com/travels/wenchuan3101/3911193.html,乐山市->成都市
