景区名称,城市,入度,出度,度数
宽窄巷子,成都市,103,109,212
成都远洋太古里,成都市,93,96,189
重庆洪崖洞民俗风貌区,渝中区,77,106,183
春熙路,成都市,84,95,179
解放碑,渝中区,69,88,157
锦里,成都市,78,77,155
重庆磁器口古镇,沙坪坝区,64,69,133
成都武侯祠博物馆,成都市,61,61,122
大慈寺,成都市,60,56,116
九眼桥,成都市,59,51,110
重庆长江索道景区,渝中区,52,55,107
成都人民公园,成都市,52,50,102
李子坝轻轨,渝中区,48,42,90
成都杜甫草堂博物馆,成都市,42,45,87
文殊院,成都市,44,41,85
来福士广场,渝中区,38,40,78
千厮门大桥,渝中区,39,35,74
玉林路小酒馆,成都市,34,34,68
IFS,成都市,34,30,64
成都大熊猫繁育研究基地,成都市,29,31,60
重庆市南山风景区,南岸区,34,25,59
天府广场,成都市,26,32,58
奥陶纪,綦江区,29,29,58
重庆鹅岭公园,渝中区,28,29,57
四川美术学院,九龙坡区,28,27,55
鹤鸣茶社,成都市,26,20,46
东郊记忆,成都市,18,20,38
奎星楼,成都市,17,18,35
渣滓洞,沙坪坝区,17,18,35
青城山—都江堰旅游景区,成都市,16,17,33
重庆人民大礼堂及人民广场,渝中区,16,17,33
白公馆,沙坪坝区,17,16,33
乐山大佛景区,乐山市,18,14,32
重庆观音桥商圈都市旅游区,江北区,17,14,31
重庆中国三峡博物馆,渝中区,16,13,29
浣花溪,成都市,14,13,27
青羊宫,成都市,14,13,27
东水门长江大桥,南岸区,13,13,26
皇冠大扶梯,渝中区,13,13,26
八一路好吃街,渝中区,17,9,26
峨眉山风景名胜区,乐山市,13,11,24
重庆南滨路景区,南岸区,13,11,24
重庆万盛黑山谷景区,綦江区,12,9,21
成都金沙遗址博物馆,成都市,11,10,21
重庆大足石刻景区,大足区,8,12,20
十八梯,渝中区,10,9,19
重庆南川金佛山景区,南川区,8,10,18
重庆南岸长嘉汇弹子石老街,南岸区,9,9,18
四川博物院,成都市,8,10,18
四川大学,成都市,8,10,18
九街,江北区,9,8,17
魁星楼,渝中区,10,7,17
重庆湖广会馆,渝中区,8,9,17
兰桂坊,成都市,8,8,16
重庆丰都名山风景区,丰都县,9,7,16
中山四路,渝中区,7,8,15
山城步道,渝中区,8,7,15
重庆大剧院,江北区,7,7,14
成都市双流区黄龙溪旅游区,成都市,5,5,10
桂园,渝中区,5,5,10
洋人街,南岸区,5,5,10
百花潭,成都市,5,4,9
周公馆,渝中区,5,4,9
四川广汉三星堆博物馆,德阳市,4,4,8
佛图关公园,渝中区,5,3,8
成都市西岭雪山景区,成都市,4,4,8
龙门浩老街,南岸区,4,4,8
邛峡市平乐古镇,成都市,4,4,8
大熊猫月亮产房,成都市,4,4,8
九皇山,绵阳市,4,4,8
重庆枇杷山,渝中区,4,4,8
罗中立美术馆,沙坪坝区,4,3,7
重庆美术馆,渝中区,4,3,7
重庆云阳龙缸景区,云阳县,4,3,7
重庆忠县石宝寨,忠县,5,2,7
重庆白鹤梁水下博物馆景区,涪陵区,4,3,7
重庆动物园,九龙坡区,5,2,7
碧峰峡旅游景区,雅安市,2,4,6
重庆华生园金色蛋糕梦幻王国景区,大渡口区,3,3,6
重庆涪陵武陵山国家森林公园,涪陵区,3,3,6
四川省图书馆,成都市,3,3,6
重庆会仙楼,渝中区,3,3,6
下浩老街,南岸区,3,3,6
重庆江津中山古镇,江津区,4,2,6
重庆江津四面山景区,江津区,1,5,6
绵阳市仙海旅游景区,绵阳市,3,2,5
罗汉寺,渝中区,3,2,5
重庆丰都雪玉洞景区,丰都县,3,2,5
特园,渝中区,3,2,5
重庆园博园,渝北区,2,2,4
重庆抗战遗址博物馆,南岸区,2,2,4
绵阳市北川药王谷旅游景区,绵阳市,3,1,4
绵阳市江油窦圌山风景区,绵阳市,1,3,4
重庆合川钓鱼城景区,合川区,2,2,4
重庆涪陵武陵山大裂谷景区,涪陵区,2,2,4
洛带古镇,成都市,2,2,4
安顺廊桥,成都市,2,2,4
重庆红岩革命纪念馆,渝中区,2,2,4
梓橦县七曲山风景区,绵阳市,1,2,3
重庆丰都南天湖景区,丰都县,1,2,3
阆中古城,南充市,1,2,3
重庆两江国际影视城,渝北区,1,2,3
石井坡,沙坪坝区,2,1,3
重庆合川涞滩古镇,合川区,1,2,3
国泰艺术中心,渝中区,2,1,3
重庆长寿菩提古镇文化旅游区,长寿区,1,2,3
宜宾市李庄古镇,宜宾市,2,1,3
重庆缙云山景区,北碚区,1,2,3
重庆乐和乐都景区,永川区,1,1,2
重庆永川松溉古镇,永川区,1,1,2
锦屏山3A级景区,宜宾市,2,0,2
成都市崇州元通古镇景区,成都市,1,1,2
川剧院,渝北区,1,1,2
成都大悦城,成都市,1,1,2
重庆际华园景区,渝北区,1,1,2
重庆渝北龙兴古镇景区,渝北区,1,1,2
重庆统景温泉风景区,渝北区,0,2,2
五粮液旅游景区,宜宾市,1,1,2
重庆云阳张飞庙,云阳县,1,1,2
成都市川菜博物馆,成都市,1,1,2
南湖梦幻岛,成都市,1,1,2
成都市建川博物馆聚落,成都市,1,1,2
成都欢乐谷,成都市,1,1,2
刘氏庄园旅游区,成都市,1,1,2
重庆云阳三峡梯城景区,云阳县,1,1,2
成都麓湖水城景区,成都市,1,1,2
重庆自然博物馆,北碚区,1,1,2
翠屏区翠屏山景区,宜宾市,1,1,2
重庆大韩民国临时政府旧址陈列馆,渝中区,1,1,2
宜宾市蜀南竹海风景名胜区,宜宾市,1,1,2
南充市凌云山景区,南充市,1,1,2
重庆东温泉风景区,巴南区,1,1,2
泸州市凤凰湖旅游景区,泸州市,1,1,2
北川羌城旅游区,绵阳市,1,1,2
乐山东方佛都旅游区,乐山市,1,1,2
重庆天赐温泉生态旅游景区,九龙坡区,1,1,2
重庆建川博物馆,九龙坡区,1,1,2
重庆歌乐山烈士陵园,渝中区,1,1,2
重庆铁山坪森林公园,江北区,1,1,2
塔子山,江北区,1,1,2
黄花园大桥,江北区,1,1,2
成都市桃花故里旅游景区,成都市,1,1,2
黄桷湾立交桥,南岸区,1,1,2
重庆中国民主党派历史陈列馆景区,渝中区,1,1,2
曾家岩书院,渝中区,1,1,2
南滨公园,渝中区,1,1,2
重庆黔江濯水古镇,黔江区,1,1,2
重庆涪陵巴山夜雨休闲旅游区,涪陵区,2,0,2
圣寿寺,大足区,1,1,2
重庆大学,沙坪坝区,2,0,2
重庆歌乐山森林公园,沙坪坝区,1,1,2
重庆铜梁安居古城,铜梁区,1,1,2
重庆宋庆龄旧居陈列馆,渝中区,1,1,2
四川美术馆,成都市,1,1,2
重庆江津塘河古镇,江津区,1,1,2
长寿古镇,长寿区,1,0,1
重庆白象街,渝中区,1,0,1
重庆南温泉风景区,巴南区,0,1,1
宜宾高县胜天红岩山旅游景区,宜宾市,0,1,1
重庆万州大瀑布群旅游区,万州区,1,0,1
重庆巴南丰盛古镇,巴南区,1,0,1
梵高星空艺术馆,成都市,1,0,1
成都环球中心,成都市,0,1,1
灌县古城,成都市,1,0,1
琴台故径,成都市,1,0,1
望丛祠,成都市,0,1,1
安仁古镇,成都市,0,1,1
成都山玫瑰谷,达州市,1,0,1
重庆双龙湖,合川区,0,1,1
北仓文创园,江北区,1,0,1
重庆科技馆,江北区,1,0,1
重庆江津会龙庄景区,江津区,1,0,1
重庆海兰云天温泉度假区,九龙坡区,1,0,1
重庆开州温泉仙女洞,开州区,1,0,1
瓦屋山景区,眉山市,0,1,1
绵阳市梓潼县两弹城旅游景区,绵阳市,1,0,1
绵阳市平武报恩寺,绵阳市,1,0,1
朝天门长江大桥,南岸区,1,0,1
山王坪,南川区,0,1,1
重庆渝中嘉西村—怡园景区,綦江区,0,1,1
重庆潼南双江古镇景区,潼南区,1,0,1
烽烟三国,忠县,1,0,1
