城市,出度,入度,度数,经度,纬度
渝中区,243,298,541,106.5392297,29.54908521
沙坪坝区,120,112,232,106.3684869,29.62456919
南岸区,122,104,226,106.6607826,29.53509925
九龙坡区,70,68,138,106.3640591,29.42857639
江北区,63,49,112,106.707849,29.61344075
成都市,51,33,84,103.9316933,30.65120719
渝北区,14,11,25,106.746744,29.80985233
大足区,9,12,21,105.7426862,29.64978162
乐山市,7,13,20,103.5711381,29.21250982
綦江区,7,8,15,106.7226033,28.87821184
巴南区,4,4,8,106.7514977,29.37154731
大渡口区,4,4,8,106.458846,29.41752891
德阳市,4,3,7,104.4382707,31.12695838
南川区,3,3,6,107.1714125,29.13528438
涪陵区,3,2,5,107.3338132,29.65836036
永川区,1,3,4,105.8729285,29.28984469
南充市,1,3,4,106.2072719,31.19346912
眉山市,3,1,4,103.7548125,29.92418804
合川区,3,1,4,106.3117339,30.11234875
北碚区,2,1,3,106.5140439,29.86079131
泸州市,1,2,3,105.4439703,28.8959298
荣昌区,2,1,3,105.5070099,29.46461003
江津区,2,1,3,106.2632018,29.02933829
万州区,1,2,3,108.4064117,30.70376936
宜宾市,1,2,3,104.6382682,28.57013595
雅安市,1,1,2,102.6645277,29.91057185
云阳县,1,1,2,108.717,31.097
长寿区,1,1,2,107.1399724,29.95446381
忠县,1,1,2,107.9147032,30.33544467
梁平区,1,0,1,107.719593,30.65813156
广安市,1,0,1,106.667105,30.42382644
丰都县,0,1,1,107.8309532,29.88443138
自贡市,0,1,1,104.6858498,29.28374458
