景区名称,城市
青城山—都江堰旅游景区,成都市
峨眉山风景名胜区,乐山市
乐山大佛景区,乐山市
北川羌城旅游区,绵阳市
邓小平故里旅游区,广安市
阆中古城,南充市
朱德故里景区,南充市
碧峰峡旅游景区,雅安市
刘氏庄园旅游区,成都市
四川广汉三星堆博物馆,德阳市
自贡恐龙博物馆,自贡市
宜宾市蜀南竹海风景名胜区,宜宾市
遂宁市中国死海旅游度假区,遂宁市
兴文石海洞乡旅游区,宜宾市
雅安蒙顶山旅游景区,雅安市
绵阳市江油窦圌山风景区,绵阳市
广安华蓥山旅游区,广安市
三圣花乡观光旅游区,成都市
梓橦县七曲山风景区,绵阳市
九皇山,绵阳市
成都武侯祠博物馆,成都市
成都杜甫草堂博物馆,成都市
成都大熊猫繁育研究基地,成都市
洛带古镇,成都市
南充市西山风景区,南充市
夕佳山民居,宜宾市
成都市宝光桂湖文化旅游区,成都市
成都市建川博物馆聚落,成都市
成都市双流区黄龙溪旅游区,成都市
成都国色天乡乐园,成都市
邛峡市平乐古镇,成都市
天台山风景名胜区,成都市
遂宁市中国观音故里旅游区,遂宁市
夹江天福观光茶园,乐山市
绵阳市平武报恩寺,绵阳市
成都金沙遗址博物馆,成都市
南充市凌云山景区,南充市
宜宾市李庄古镇,宜宾市
泸州老窖旅游区,泸州市
成都欢乐谷,成都市
嘉陵第一桑梓风景区,南充市
三苏祠景区,眉山市
资阳市陈毅故里景区,资阳市
达州市真佛山景区,达州市
成都崇州街子古镇,成都市
阆中天宫院风水文化景区,南充市
成都市西岭雪山景区,成都市
成都市花水湾温泉度假旅游区,成都市
自贡市荣县大佛文化旅游区,自贡市
遂宁市中华侏罗纪探秘旅游区,遂宁市
乐山市乌木文化博览苑,乐山市
乐山市峨眉山大佛禅院佛教文化旅游区,乐山市
南部县升钟湖旅游景区,南充市
成都市虹口旅游景区,成都市
绵竹市九龙山一麓棠山旅游区,德阳市
中国绵竹年画村景区,德阳市
成都市花舞人间旅游景区,成都市
成都市海昌极地海洋世界景区,成都市
乐山市黑竹沟风景区,乐山市
成都市桃花故里旅游景区,成都市
达州市渠县賨人谷旅游景区,达州市
