景区名,景区名称,城市
IFS,IFS,IFS
816工程,重庆涪陵816工程景区,涪陵
艾叶古镇,自贡市艾叶古镇,自贡市
爱莉丝庄园,重庆黔江爱莉丝庄园,黔江
爱情谷,江油百年好合爱情谷旅游景区,绵阳市
安居古城,重庆铜梁安居古城,铜梁
安居古镇,重庆铜梁安居古城,铜梁
安顺场,石棉县安顺场景区,雅安市
安顺廊桥,安顺廊桥,安顺廊桥
安陶博物馆,重庆荣昌安陶博物馆,荣昌
安岳石窟,安岳石窟.卧佛院,资阳市
奥陶纪,奥陶纪,奥陶纪
八尔湖,南部县八尔湖景区,南充市
八台山,达州市万源八台山旅游景区,达州市
八仙山,龙华镇八仙山立佛,宜宾市
八一好吃街,八一路好吃街,八一路好吃街
八一路好吃街,八一路好吃街,八一路好吃街
八一路街道,八一路好吃街,八一路好吃街
八一路小吃街,八一路好吃街,八一路好吃街
巴山大峡谷,宣汉县巴山大峡谷旅游景区,达州市
巴山夜雨,重庆涪陵巴山夜雨休闲旅游区,涪陵
巴岳山,巴岳山,巴岳山
芭拉胡,重庆黔江芭拉胡景区,黔江
白公祠,重庆忠县白公祠文博景区,忠县
白公馆,白公馆,白公馆
白鹤梁,重庆白鹤梁水下博物馆景区,涪陵
白鹿音乐小镇,白鹿音乐小镇,成都市
白鹿中法风情小镇,白鹿中法风情小镇,白鹿中法风情小镇
白马景区,泸州市古蔺县双沙镇白马景区,泸州市
白坪,白坪一飞龙旅游区,广安市
白沙老影视基地,重庆江津白沙老重庆影视基地,江津
白沙影视基地,重庆江津白沙老重庆影视基地,江津
白塔公园,白塔公园,白塔公园
百花潭,百花潭,百花潭
百里竹海,重庆梁平百里竹海,梁平区
斑竹林,斑竹林,成都市
宝顶山,重庆大足石刻景区,大足
宝光桂湖,成都市宝光桂湖文化旅游区,成都市
宝林博物馆,重庆渝北宝林博物馆,渝北
宝轮寺,重庆磁器口古镇,沙坪坝
宝瓶口,青城山—都江堰旅游景区,成都市
宝森农林,安岳县宝森农林旅游区,资阳市
宝山,宝山旅游区,成都市
宝兴县空石林,宝兴县空石林景区,雅安市
宝箴塞,武胜县宝箴塞,广安市
保和生态度假区,保和生态旅游度假区,资阳市
保宁醋,保宁醋文化博览园旅游景区,南充市
保税体验,重庆保税体验旅游景区,江北
堡川矿,广元堡川矿记忆景区,雅安市
报国寺,资阳乐至龙门报国寺,资阳市
北仓图书馆,北仓文创园,北仓文创园
北仓文创园,北仓文创园,北仓文创园
北辰湖公园,北辰湖公园,广安市
北川羌城,北川羌城旅游区,绵阳市
北湖公园,南充市北湖公园,南充市
北泉,重庆北泉风景区,北碚
北山石刻,重庆大足石刻景区,大足
贝迪颐园温泉,重庆贝迪颐园温泉度假区,九龙坡
碧峰峡,碧峰峡旅游景区,雅安市
碧荷园,绵阳市安州区环湖碧荷园景区,绵阳市
碧水蓝天,绵阳市碧水蓝天旅游景区,绵阳市
碧瑶湾,碧瑶湾旅游景区,达州市
滨江路,滨江路,滨江路
僰王山,僰王山风景名胜区,宜宾市
布拉格,南充市南部县布拉格景区,南充市
擦耳桃源,擦耳桃源旅游景区,南充市
彩灯博物馆,中国彩灯博物馆,自贡市
彩灯大世界,中华彩灯大世界,自贡市
蚕桑乐园,瑞福蚕桑乐园,达州市
藏茶世界,雨城区藏茶世界景区,雅安市
曾家岩书院,曾家岩书院,曾家岩书院
茶兰,四川邛崃茶兰景区,成都市
茶山竹海,重庆永川茶山竹海旅游景区,永川
