景区名,景区名称,城市
都江堰,青城山—都江堰旅游景区,成都市
青城山,青城山—都江堰旅游景区,成都市
峨眉山,峨眉山风景名胜区,乐山市
乐山,乐山大佛景区,乐山市
北川羌城,北川羌城旅游区,绵阳市
邓小平故里,邓小平故里旅游区,广安市
阆中古城,阆中古城,南充市
朱德故里,朱德故里景区,南充市
碧峰峡,碧峰峡旅游景区,雅安市
刘氏庄园,刘氏庄园旅游区,成都市
三星堆,四川广汉三星堆博物馆,德阳市
恐龙博物馆,自贡恐龙博物馆,自贡市
蜀南竹海,宜宾市蜀南竹海风景名胜区,宜宾市
死海,遂宁市中国死海旅游度假区,遂宁市
石海洞乡,兴文石海洞乡旅游区,宜宾市
蒙顶山,雅安蒙顶山旅游景区,雅安市
窦圌山,绵阳市江油窦圌山风景区,绵阳市
华蓥山,广安华蓥山旅游区,广安市
三圣花乡,三圣花乡观光旅游区,成都市
七曲山,梓橦县七曲山风景区,绵阳市
九皇山,九皇山,绵阳市
武侯祠,成都武侯祠博物馆,成都市
杜甫草堂,成都杜甫草堂博物馆,成都市
大熊猫繁育研究基地,成都大熊猫繁育研究基地,成都市
洛带古镇,洛带古镇,成都市
西山风,南充市西山风景区,南充市
夕佳山民居,夕佳山民居,宜宾市
宝光桂湖,成都市宝光桂湖文化旅游区,成都市
成都建川博物馆,成都市建川博物馆聚落,成都市
黄龙溪,成都市双流区黄龙溪旅游区,成都市
国色天乡乐园,成都国色天乡乐园,成都市
平乐古镇,邛峡市平乐古镇,成都市
天台山,天台山风景名胜区,成都市
观音故里,遂宁市中国观音故里旅游区,遂宁市
天福观光茶园,夹江天福观光茶园,乐山市
平武报恩寺,绵阳市平武报恩寺,绵阳市
金沙遗址,成都金沙遗址博物馆,成都市
凌云山,南充市凌云山景区,南充市
李庄古镇,宜宾市李庄古镇,宜宾市
泸州老窖,泸州老窖旅游区,泸州市
成都欢乐谷,成都欢乐谷,成都市
嘉陵第一桑梓,嘉陵第一桑梓风景区,南充市
三苏祠,三苏祠景区,眉山市
陈毅故里,资阳市陈毅故里景区,资阳市
真佛山,达州市真佛山景区,达州市
崇州街子古镇,成都崇州街子古镇,成都市
天宫院,阆中天宫院风水文化景区,南充市
西岭雪山,成都市西岭雪山景区,成都市
花水湾,成都市花水湾温泉度假旅游区,成都市
荣县大佛,自贡市荣县大佛文化旅游区,自贡市
中华侏罗纪探秘,遂宁市中华侏罗纪探秘旅游区,遂宁市
乌木文化博览苑,乐山市乌木文化博览苑,乐山市
升钟湖,乐山市峨眉山大佛禅院佛教文化旅游区,乐山市
虹口,南部县升钟湖旅游景区,南充市
九龙山,成都市虹口旅游景区,成都市
麓棠山,绵竹市九龙山一麓棠山旅游区,德阳市
年画村,中国绵竹年画村景区,德阳市
花舞人间,成都市花舞人间旅游景区,成都市
海昌极地海洋世界,成都市海昌极地海洋世界景区,成都市
黑竹沟,乐山市黑竹沟风景区,乐山市
桃花故里,成都市桃花故里旅游景区,成都市
渠县賨人谷,达州市渠县賨人谷旅游景区,达州市
圆觉洞,资阳市安岳石刻?圆觉洞景区,资阳市
龙凤,遂宁市龙凤景区,遂宁市
农科村,成都市郫县农科村,成都市
黄荆老林,黄荆老林,泸州市
太平古镇,太平古镇景区,泸州市
东方佛都,乐山东方佛都旅游区,乐山市
李白纪念馆,江油李白纪念馆景区,绵阳市
新场古镇,新场古镇,成都市
国际非物质文化遗产博览园,国际非物质文化遗产博览园,成都市
子昂故里,子昂故里文化旅游区,遂宁市
石牌坊,内江市隆昌县石牌坊旅游区,内江市
上里古城,雅安市雨城区上里古城,雅安市
东郊记忆,东郊记忆,成都市
郭沫若故居,乐山市郭沫若故居,乐山市
东拉山,东拉山大峡谷,雅安市
安顺场,石棉县安顺场景区,雅安市
药王谷,绵阳市北川药王谷旅游景区,绵阳市
望丛祠,望丛祠,成都市
三道堰,西部最美水乡?三道堰旅游景区,成都市
观音湖,观音湖湿地公园旅游景区,遂宁市
黑龙滩,黑龙滩旅游景区,眉山市
宝箴塞,武胜县宝箴塞,广安市
神龙山,神龙山巴人石头城,广安市
熊猫古城,熊猫古城景区,雅安市
五凤溪,五凤溪景区,成都市
石象湖,石象湖景区,成都市
白鹿音乐小镇,白鹿音乐小镇,成都市
宝山,宝山旅游区,成都市
天仙硐,泸州天仙硐,泸州市
