城市,出度,入度,度数,经度,纬度
巴南区,18,26,44,106.7514977,29.37154731
北碚区,14,14,28,106.5140439,29.86079131
璧山区,0,0,0,106.1919032,29.56121446
成都市,258,226,484,103.9316933,30.65120719
达州市,2,2,4,107.6485784,31.36365576
大渡口区,24,23,47,106.458846,29.41752891
大足区,56,68,124,105.7426862,29.64978162
德阳市,26,27,53,104.4382707,31.12695838
垫江县,3,0,3,107.4378231,30.25307171
丰都县,27,18,45,107.8309532,29.88443138
涪陵区,21,17,38,107.3338132,29.65836036
广安市,1,1,2,106.667105,30.42382644
合川区,15,15,30,106.3117339,30.11234875
江北区,259,224,483,106.707849,29.61344075
江津区,7,7,14,106.2632018,29.02933829
九龙坡区,265,242,507,106.3640591,29.42857639
开州区,1,0,1,108.367,31.064
乐山市,78,86,164,103.5711381,29.21250982
梁平区,4,2,6,107.719593,30.65813156
泸州市,5,4,9,105.4439703,28.8959298
眉山市,5,5,10,103.7548125,29.92418804
绵阳市,12,11,23,105.01,31.432
南岸区,523,458,981,106.6607826,29.53509925
南充市,10,11,21,106.2072719,31.19346912
南川区,25,27,52,107.1714125,29.13528438
内江市,3,1,4,104.9139398,29.63813631
綦江区,103,94,197,106.7226033,28.87821184
黔江区,9,8,17,108.7086215,29.43503249
荣昌区,2,2,4,105.5070099,29.46461003
沙坪坝区,525,497,1022,106.3684869,29.62456919
遂宁市,0,0,0,105.4754089,30.62885691
铜梁区,7,8,15,106.0331051,29.81108529
潼南区,2,0,2,105.814469,30.14303771
万州区,7,6,13,108.4064117,30.70376936
雅安市,7,9,16,102.6645277,29.91057185
宜宾市,7,8,15,104.6382682,28.57013595
永川区,9,9,18,105.8729285,29.28984469
渝北区,52,47,99,106.746744,29.80985233
渝中区,1161,1356,2517,106.5392297,29.54908521
云阳县,14,10,24,108.717,31.097
长寿区,6,5,11,107.1399724,29.95446381
忠县,12,9,21,107.9147032,30.33544467
资阳市,1,1,2,105.118789,30.09793125
自贡市,1,3,4,104.6858498,29.28374458
