景区名称,城市,入度,出度,度数
重庆南温泉风景区,巴南区,12,11,23
重庆汉海海洋公园,巴南区,10,10,20
重庆巴南云篆山,巴南区,10,8,18
西流沱小镇,巴南区,5,11,16
重庆东温泉风景区,巴南区,8,7,15
龙浒峡漂流,巴南区,3,10,13
南湖多彩植物园,巴南区,7,4,11
重庆巴南丰盛古镇,巴南区,4,5,9
重庆巴南羊鹿山景区,巴南区,2,3,5
重庆巴南天坪山云林天乡景区,巴南区,1,1,2
重庆缙云山景区,北碚区,7,10,17
重庆自然博物馆,北碚区,7,5,12
重庆北碚金刀峡景区,北碚区,1,1,2
重庆北泉风景区,北碚区,1,0,1
宽窄巷子,成都市,395,450,845
春熙路,成都市,339,373,712
成都远洋太古里,成都市,306,314,620
成都武侯祠博物馆,成都市,268,277,545
成都人民公园,成都市,192,181,373
成都杜甫草堂博物馆,成都市,166,164,330
大慈寺,成都市,166,155,321
九眼桥,成都市,165,143,308
青城山—都江堰旅游景区,成都市,128,150,278
文殊院,成都市,146,131,277
IFS,成都市,132,117,249
天府广场,成都市,110,117,227
成都大熊猫繁育研究基地,成都市,108,101,209
玉林路小酒馆,成都市,93,96,189
东郊记忆,成都市,85,85,170
鹤鸣茶社,成都市,77,59,136
奎星楼,成都市,54,52,106
青羊宫,成都市,51,48,99
浣花溪,成都市,54,41,95
成都金沙遗址博物馆,成都市,49,42,91
四川大学,成都市,42,39,81
四川博物院,成都市,29,32,61
成都市双流区黄龙溪旅游区,成都市,31,28,59
成都鹪鹩人文精品酒店,成都市,30,20,50
兰桂坊,成都市,26,22,48
成都市西岭雪山景区,成都市,21,23,44
百花潭,成都市,16,11,27
成都麓湖水城景区,成都市,14,13,27
洛带古镇,成都市,11,13,24
安顺廊桥,成都市,11,12,23
四川省图书馆,成都市,9,9,18
梵高星空艺术馆,成都市,11,6,17
邛峡市平乐古镇,成都市,9,8,17
成都环球中心,成都市,8,7,15
宝山旅游区,成都市,6,8,14
灌县古城,成都市,8,5,13
刘氏庄园旅游区,成都市,6,7,13
大熊猫月亮产房,成都市,6,6,12
成都欢乐谷,成都市,6,5,11
成都市建川博物馆聚落,成都市,6,4,10
南湖梦幻岛,成都市,7,3,10
新繁东湖景区,成都市,4,4,8
成都市川菜博物馆,成都市,4,3,7
琴台故径,成都市,4,2,6
三圣花乡观光旅游区,成都市,4,2,6
成都市崇州元通古镇景区,成都市,3,2,5
成都玉林路,成都市,2,2,4
成都市彭州丹景山旅游景区,成都市,3,1,4
成都市武侯区天府芙蓉园景区,成都市,2,2,4
成都市花水湾温泉度假旅游区,成都市,3,1,4
成都市虹口旅游景区,成都市,2,2,4
天台山风景名胜区,成都市,1,3,4
成都市崇州市竹艺村景区,成都市,2,2,4
川西竹海景区,成都市,2,1,3
成都大悦城,成都市,2,1,3
望丛祠,成都市,1,2,3
崇州市罨画池,成都市,2,1,3
都江堰市茶溪谷旅游景区,成都市,1,1,2
芳邻路酒吧一条街,成都市,1,1,2
成都市双流区海滨城景区,成都市,2,0,2
成都市海昌极地海洋世界景区,成都市,1,1,2
美国驻成都总领事馆,成都市,1,1,2
蜀酒文化园区,成都市,1,1,2
成都市桃花故里旅游景区,成都市,1,1,2
鲜花山谷,成都市,1,1,2
青白江区客家杏花村旅游景区,成都市,2,0,2
夜啤酒长廊,成都市,1,1,2
成都蜀锦织绣博物馆,成都市,1,1,2
方所书店,成都市,1,1,2
成都博物馆,成都市,2,0,2
四川邛崃茶兰景区,成都市,1,0,1
成都市锦门景区,成都市,0,1,1
成都市龙泉驿区蔚然花海景区,成都市,1,0,1
五凤溪景区,成都市,1,0,1
紫坪铺水库,成都市,0,1,1
安仁古镇,成都市,0,1,1
四川美术馆,成都市,9,7,16
开江金山寺旅游景区,达州市,1,1,2
成都山玫瑰谷,达州市,1,1,2
重庆华生园金色蛋糕梦幻王国景区,大渡口区,24,23,47
重庆大足石刻景区,大足区,56,68,124
昌州古城,大足区,7,8,15
圣寿寺,大足区,4,4,8
重庆大足海棠香国历史文化风情城,大足区,2,2,4
重庆大足荷花山庄,大足区,2,1,3
四川广汉三星堆博物馆,德阳市,25,26,51
绵竹市九龙山一麓棠山旅游区,德阳市,2,1,3
中国绵竹年画村景区,德阳市,0,2,2
剑南老街,德阳市,1,0,1
重庆垫江恺之峰旅游区,垫江县,2,0,2
重庆垫江牡丹樱花世界景区,垫江县,1,0,1
重庆丰都名山风景区,丰都县,27,20,47
重庆丰都雪玉洞景区,丰都县,7,5,12
重庆丰都南天湖景区,丰都县,2,5,7
