景区名,标记次数
洪崖洞民俗风貌区,70
解放碑,69
步行街,69
磁器口古镇,48
长江索道,36
巫山侏罗世界游乐园,33
李子坝轻轨站,31
千厮门大桥,20
二厂文创公园,19
朝天门广场,19
山城步道,19
皇冠大扶梯,18
南山一棵树观景台,18
人民大礼堂,16
三峡博物馆,15
鹅岭公园,13
武隆天生三桥,12
四川美术学院(黄桷坪校区),12
解放碑/洪崖洞,11
锦里古街,11
地瓜老火锅(渝北区总店),11
成都大熊猫繁育研究基地,10
龙水峡地缝,10
中山四路,10
涂鸦一条街,9
春熙路,9
八一路好吃街,9
宽窄巷子,9
梦幻奥陶纪景区,9
罗汉寺,9
渣滓洞,9
重庆交通茶馆,8
重庆洪崖洞民俗风貌区,8
大足石刻,7
武侯祠,7
钟书阁,7
长嘉汇弹子石老街,7
重庆白象街,6
朝天门,6
人民公园,6
江北国际机场,6
湖广会馆,6
武隆喀斯特旅游区,6
武隆,6
白公馆,6
重庆大剧院,6
龙门浩老街,6
纯阳老酒馆(七星岗店),6
南滨路,5
仙女山国家森林公园,5
两江国际影视城（民国街）,5
成都,5
大足区,5
宝顶山景区,5
周公馆,4
东水门,4
北仓图书馆(北仓文创街区店),4
重庆好吃街,4
重庆长江索道南站,4
花市豌杂面(民生路店),4
观音桥步行街,4
长寿湖度假区,4
卤校长老火锅(杨家坪店),4
重庆洪崖洞,4
周师兄重庆火锅(解放碑总店),4
重庆园博园,3
乌江画廊,3
张飞庙,3
武汉长江大桥,3
魁星楼,3
文殊院,3
天府广场,3
中复·北仓文创园,3
桂园,3
九重天,3
北山石刻,3
昌州古城,3
丰都,3
耙二哥腰片王老火锅(解放碑店),3
重庆火车北站高铁站-北广场,3
都江堰,3
铜梁奇彩梦园,3
仙女山镇,3
李子坝公园,3
老君洞,3
茶山竹海,3
下浩老街,3
观音桥,3
瞿塘峡,2
九眼桥,2
鹤鸣茶社(人民公园店),2
白马山天尺情缘景区,2
重庆喜来登大酒店,2
陕西历史博物馆,2
黄龙溪,2
宜昌,2
永兴坊,2
小雁塔(荐福寺),2
折多山,2
解放路步行街,2
回民街,2
冒椒火辣(奎星楼街店),2
杨记隆府(解放碑总店),2
大雁塔北广场,2
西安鼓楼,2
西安城墙,2
秦始皇帝陵博物院(兵马俑),2
重庆南滨108江景酒店,2
东郊记忆,2
四川博物院,2
人民大会堂,2
罗中立美术馆,2
四川美术学院虎溪校区,2
重庆天喜豪生大酒店,2
渝中区,2
渝味晓宇火锅(枇杷山正街店),2
巫峡,2
武汉,2
三峡大坝旅游区,2
夔门,2
重庆大学,2
重庆山城步道,2
龚滩古镇,2
李子坝梁山鸡(李子坝大鸡哥店),2
巫山小三峡,2
铁路四村,2
成都玉林西路小酒馆楼上普通公寓,2
重庆WFC会仙楼观景台,2
宝轮寺,2
壹华里夜景公园,2
李子坝梁山鸡(公园二鸡哥店),2
佛图关与鹅岭,2
日月光中心广场,2
滨江路,2
重庆丽晶酒店,2
严太婆锅魁(文殊院店),2
重庆当代美术馆,2
凯旋路电梯,2
杨家坪/万象城,2
重庆建川博物馆聚落,2
