景区名,标记次数,经度,纬度
重庆市洪崖洞民俗风貌区,70,106.58545698171889,29.568606558885943
重庆市解放碑,69,106.58366099951338,29.563792997021263
重庆市步行街,69,106.55843415537664,29.568996245338923
重庆市磁器口古镇,48,106.45621695956609,29.58767899332092
重庆市长江索道,36,106.51817964819901,29.532759513851826
重庆市巫山侏罗世界游乐园,33,109.88401775884998,31.11064198863944
重庆市李子坝轻轨站,31,106.52622136895224,29.54813724641848
重庆市千厮门大桥,20,106.58550074177349,29.572158227319647
重庆市二厂文创公园,19,106.54651301244934,29.55754501864654
重庆市朝天门广场,19,106.59437356220798,29.572837740519795
重庆市山城步道,19,106.55843415537664,29.568996245338923
重庆市皇冠大扶梯,18,106.5556070082766,29.558530021460093
重庆市南山一棵树观景台,18,106.65947879300543,29.452573159270326
重庆市人民大礼堂,16,106.56045911565657,29.567847993173032
重庆市三峡博物馆,15,109.65141367416557,31.553899879184392
重庆市鹅岭公园,13,106.54306495658096,29.555566029836545
重庆市武隆天生三桥,12,107.81770792394629,29.439179153683178
重庆市四川美术学院(黄桷坪校区),12,106.54763643331972,29.49375320474746
重庆市解放碑/洪崖洞,11,106.58507520187727,29.566718890551236
重庆市锦里古街,11,106.55843415537664,29.568996245338923
重庆市地瓜老火锅(渝北区总店),11,106.50052201611743,29.593592971535756
重庆市成都大熊猫繁育研究基地,10,103.59715496248957,30.968279824769226
重庆市龙水峡地缝,10,105.7795383309947,29.56743851137011
重庆市中山四路,10,106.5539923939535,29.569722682172095
重庆市涂鸦一条街,9,109.45378152129013,31.030315631164523
重庆市春熙路,9,106.55843415537664,29.568996245338923
重庆市八一路好吃街,9,106.584011967476,29.56232503090444
重庆市宽窄巷子,9,108.6690912667893,31.954259769348415
重庆市梦幻奥陶纪景区,9,106.95282773346645,28.842227297672938
重庆市罗汉寺,9,106.58790019304412,29.56613450405808
重庆市渣滓洞,9,106.43987606370058,29.59153727940797
重庆市重庆交通茶馆,8,106.549237213738,29.495993945984726
重庆市重庆洪崖洞民俗风貌区,8,106.58545698171889,29.568606558885943
重庆市大足石刻,7,105.75951671813382,29.58546291811735
重庆市武侯祠,7,106.55843415537664,29.568996245338923
重庆市钟书阁,7,106.52289000296959,29.512295989873007
重庆市长嘉汇弹子石老街,7,106.59661779886282,29.587458118244204
重庆市重庆白象街,6,106.58379861991746,29.56375977540593
重庆市朝天门,6,106.59004956863713,29.56051099367461
重庆市人民公园,6,105.73895207959234,29.71210689514619
重庆市江北国际机场,6,106.77382041828017,29.630891067304116
重庆市湖广会馆,6,106.59334015154965,29.563911118230827
重庆市武隆喀斯特旅游区,6,107.7909340180608,29.376906049691257
重庆市武隆,6,107.76642518951796,29.33202687074895
重庆市白公馆,6,106.43852079017812,29.58291809677464
重庆市重庆大剧院,6,106.58789103032791,29.576110465475807
重庆市龙门浩老街,6,106.60050800070304,29.561395985944838
重庆市纯阳老酒馆(七星岗店),6,106.53816748477273,29.57788307148899
重庆市南滨路,5,108.7098426267578,30.91651788748408
重庆市仙女山国家森林公园,5,107.74538121515653,29.503326480706612
重庆市两江国际影视城（民国街）,5,106.82975179389055,29.691217417956267
重庆市成都,5,106.42406220367761,29.593323430325643
重庆市大足区,5,105.72840462545042,29.713113506076837
重庆市宝顶山景区,5,105.80135377012786,29.754546188554347
重庆市周公馆,4,106.55695931739085,29.571572127252114
重庆市东水门,4,106.50288421255514,30.18027320088378
重庆市北仓图书馆(北仓文创街区店),4,106.54483704385991,29.584855006246045
重庆市重庆好吃街,4,107.10841730198199,29.16015388763286
重庆市重庆长江索道南站,4,106.60048698035412,29.558462003875714
重庆市花市豌杂面(民生路店),4,106.58012751479104,29.56192031739318
重庆市观音桥步行街,4,106.53881902575891,29.580104418974734
重庆市长寿湖度假区,4,107.24684258780182,29.911798402572575
重庆市卤校长老火锅(杨家坪店),4,106.52153984978854,29.5166974681488
重庆市重庆洪崖洞,4,106.58507520187727,29.566718890551236
重庆市周师兄重庆火锅(解放碑总店),4,106.54206657983751,29.57670060471315
重庆市重庆园博园,3,106.55909629636784,29.68663254472049
重庆市乌江画廊,3,108.1785300285283,29.27621302438833
重庆市张飞庙,3,108.71189238027047,30.916708191023655
重庆市武汉长江大桥,3,108.0564783209314,30.30588011035973
重庆市魁星楼,3,108.43322579412037,31.17343663176675
重庆市文殊院,3,106.55843415537664,29.568996245338923
重庆市天府广场,3,106.55843415537664,29.568996245338923
重庆市中复·北仓文创园,3,106.54483704385991,29.584855006246045
重庆市桂园,3,106.55348682761264,29.569145852491364
重庆市九重天,3,107.7408699248869,29.878429596148408
重庆市北山石刻,3,105.71746128807037,29.718161777432524
重庆市昌州古城,3,105.6105187477886,29.41960943960065
重庆市丰都,3,107.73748061819887,29.86941278921405
重庆市耙二哥腰片王老火锅(解放碑店),3,106.58058430314273,29.563943318802302
重庆市重庆火车北站高铁站-北广场,3,106.55763502279524,29.618491028039305
重庆市都江堰,3,103.65353360443186,30.994256893542204
重庆市铜梁奇彩梦园,3,106.0530516976659,29.801081946824496
重庆市仙女山镇,3,106.55843415537664,29.568996245338923
重庆市李子坝公园,3,106.54151304398243,29.558053661770135
重庆市老君洞,3,108.90055342550943,31.887544296489285
重庆市茶山竹海,3,105.88997771713537,29.375419059588264
重庆市下浩老街,3,105.93079948937368,30.358384122440306
重庆市观音桥,3,106.21320826356641,30.115071309456447
重庆市瞿塘峡,2,109.47245908945358,31.024921129484415
重庆市九眼桥,2,106.55843415537664,29.568996245338923
重庆市鹤鸣茶社(人民公园店),2,106.0399090389065,29.16777594644003
重庆市白马山天尺情缘景区,2,107.60124629951714,29.383940825209415
